;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;REGISTRO DE EAN + SKU;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;153;EANs preenchidos;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;66%;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SKU;Código EAN;Produto;Cor;Tamanho;Material;KIT;Quantidade;Registrado no GS1?;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-PEQ-ABS-K6;7891751039004;Porta Joias;Rosa Pink;Pequeno;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-PEQ-ABS-K9;7895106233178;Porta Joias;Rosa Pink;Pequeno;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-PEQ-ABS-K12;7891063777939;Porta Joias;Rosa Pink;Pequeno;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-PEQ-ABS-K15;7896728815131;Porta Joias;Rosa Pink;Pequeno;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-MED-ABS-K6;7898031551393;Porta Joias;Rosa Pink;Médio;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-MED-ABS-K9;7894701800495;Porta Joias;Rosa Pink;Médio;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-MED-ABS-K12;7897382976985;Porta Joias;Rosa Pink;Médio;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-MED-ABS-K15;7897490306476;Porta Joias;Rosa Pink;Médio;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-PEQ-PEG-K6;7891712202508;Porta Joias;Translúcido;Pequeno;PETG;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-PEQ-PEG-K9;7894545373780;Porta Joias;Translúcido;Pequeno;PETG;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-PEQ-PEG-K12;7892470140477;Porta Joias;Translúcido;Pequeno;PETG;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-PEQ-PEG-K15;7892039300526;Porta Joias;Translúcido;Pequeno;PETG;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-MED-PEG-K6;7890981557005;Porta Joias;Translúcido;Médio;PETG;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-MED-PEG-K9;7897385725856;Porta Joias;Translúcido;Médio;PETG;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-MED-PEG-K12;7899018411365;Porta Joias;Translúcido;Médio;PETG;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-MED-PEG-K15;7891616806154;Porta Joias;Translúcido;Médio;PETG;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-PEQ-PEG-K6;7891954602388;Porta Joias;Preto;Pequeno;PETG;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-PEQ-PEG-K9;7896883905746;Porta Joias;Preto;Pequeno;PETG;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-PEQ-PEG-K12;7898895256045;Porta Joias;Preto;Pequeno;PETG;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-PEQ-PEG-K15;7899854162544;Porta Joias;Preto;Pequeno;PETG;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-MED-PEG-K6;7894982582189;Porta Joias;Preto;Médio;PETG;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-MED-PEG-K9;7894678460104;Porta Joias;Preto;Médio;PETG;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-MED-PEG-K12;7895821709316;Porta Joias;Preto;Médio;PETG;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-MED-PEG-K15;7897592082469;Porta Joias;Preto;Médio;PETG;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-PEQ-PEG-K6;7890970338295;Porta Joias;Rosa bebê;Pequeno;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-PEQ-ABS-K9;7896216910386;Porta Joias;Rosa bebê;Pequeno;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-PEQ-ABS-K12;7890233912330;Porta Joias;Rosa bebê;Pequeno;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
